类别,论文,年份,载体,DOI/ID,是否RL,是否含真实日历时序,与本课题关系,关键点,来源与核实程度
C 相邻空间分配RL（单期）,Sponet: solve spatial optimization problem using deep RL,2023,Int. J. Digital Earth,IJDE 2023,是,否,相邻,p-median/p-center/MCLP统一求解,用户上传PDF + OpenAlex检索命中
C 相邻空间分配RL（单期）,Deep reinforcement learning for spatial resource allocation: school districting (Zhang et al.),2024,Environment and Planning B,EPB 2024,是,否,相邻：存量约束下的划分,districting，给学生划片,用户上传PDF + OpenAlex检索命中
C 相邻空间分配RL（单期）,Transit-oriented land use planning for regional metro networks via deep RL,2026,Transportation Research Part A,TR-A 2026,是,否（以既有线网为外生条件）,轨道-用地耦合,把地铁线网作为用地规划的外生结构,OpenAlex检索命中，仅标题级核实（摘要未取到）
C 相邻空间分配RL（单期）,Automated architectural spatial composition via multi-agent DRL for building renovation,2024,Automation in Construction,S0926580524004382,是,否,建筑改造尺度,更新语境下的多智能体RL，但尺度是单体建筑内部,web_search持久化结果（ScienceDirect PII），仅标题级核实
D 深圳更新实证（非RL，供数据与变量参考）,Spatial determinants of land redevelopment in the urban renewal processes in Shenzhen,2021,Land Use Policy,10.1016/j.landusepol.2021.105330,否,—,变量与数据来源参考,更新发生概率的空间决定因素,OpenAlex检索命中并已取回摘要
D 深圳更新实证（非RL，供数据与变量参考）,Evaluating and Analyzing Urban Renewal and Transformation Potential Based on AET Models: Shenzhen,2023,Sustainability,10.3390/su151813528,否,2010–2020面板,更新潜力评价,以符合更新条件的地块为评价单元，分居住/工业/商业,OpenAlex检索命中并已取回摘要
D 深圳更新实证（非RL，供数据与变量参考）,Method for Evaluating Urban Building Renewal Potential (Longgang & Longhua),2024,Land,10.3390/land14010015,否,2018–2023,★建筑级状态特征来源,用2018年深圳建筑物普查+堆叠集成ML识别单体建筑更新,OpenAlex检索命中并已取回摘要
D 深圳更新实证（非RL，供数据与变量参考）,Integrating technology and economic rationality: Shenzhen's urban renewal capacity policy,2025,自然资源学报,10.31497/zrzyxb.20250608,否,—,容积率/拆建比等奖励项参考,拆建比、拆赔比等四指标经济效益模型,OpenAlex检索命中并已取回摘要
D 深圳更新实证（非RL，供数据与变量参考）,How does urban renewal affect residential segregation in Shenzhen? A multi-scale study,2024,Sustainable Cities and Society,SCS 2024,否,—,社会公平目标项参考,更新对居住分异的影响,OpenAlex检索命中，摘要抓取未命中
E 非平稳RL理论（层面5备用）,Optimizing for the Future in Non-Stationary MDPs,2020,arXiv/ICML,arXiv:2005.08158,是,是,理论工具,—,web_search持久化结果（arxiv.org/pdf/2005.08158），仅标题级核实
E 非平稳RL理论（层面5备用）,"Non-Stationary Markov Decision Processes, a Worst-Case Approach using Model-Based Reinforcement Learning (Extended version)",2019,arXiv,arXiv:1904.10090,是,是,理论工具,—,web_search持久化结果（arxiv.org/pdf/1904.10090），仅标题级核实
E 非平稳RL理论（层面5备用）,Non-Stationary Reinforcement Learning: The Blessing of (More) Optimism,2019,arXiv,arXiv:1906.02922,是,是,理论工具,—,web_search持久化结果（arxiv.org/pdf/1906.02922），仅标题级核实
